spcies_id,nb_fwd,nb_rev,prop
4958875-Rhomuc1,16,34,0.47058823529411764
4958893-RhodotJ31_1,13,33,0.3939393939393939
4958875-Rhomuc1,16,34,0.47058823529411764
4958893-RhodotJ31_1,13,33,0.3939393939393939
Abobie1,12,43,0.27906976744186046
AcreTS7_1,46,0,1
Agahy1,1,41,0.024390243902439025
Albpec1,45,4,11.25
Alikh1,2,54,0.037037037037037035
Amarub1,2,52,0.038461538461538464
Amyrou1,23,35,0.6571428571428571
Amysub1,1,48,0.020833333333333332
Annbov1,126,4,31.5
Annmae1,0,96,0.0
Annmin1,6,124,0.04838709677419355
Annnit1,105,1,105.0
Anomyc1,25,24,1.0416666666666667
Antser1,9,48,0.1875
Apibac1,7,148,0.0472972972972973
Armbor1,72,11,6.545454545454546
Armect1,60,5,12.0
Armmel1,1,90,0.011111111111111112
Armtab1,1,62,0.016129032258064516
Aspacri1,0,55,0.0
Aspalbe1,0,47,0.0
Aspamy1,0,46,0.0
Aspave1,1,52,0.019230769230769232
Aspber1,0,49,0.0
Aspbisp1,46,0,1
Aspbrev1,45,0,1
Aspcae1,0,48,0.0
Aspcand1,47,0,1
Aspchev1,60,0,1
Aspcor1,0,55,0.0
Aspdese1,0,49,0.0
Aspegy1,0,76,0.0
Aspfili1,0,52,0.0
Aspfuni1,46,0,1
Aspinso1,0,47,0.0
Aspmin1,46,0,1
Aspnom1,48,0,1
Aspnovo1,0,46,0.0
Asppar1,46,0,1
Aspparv1,1,46,0.021739130434782608
Asppeni1,44,0,1
Asppsec1,0,47,0.0
Asppsen1,0,48,0.0
Aspres1,0,52,0.0
Asprobu1,0,53,0.0
Aspser1,47,0,1
Asptaic1,0,45,0.0
Asptam1,48,0,1
Asptra1,0,46,0.0
Aspung1,44,0,1
Aspven1,0,51,0.0
Auramp1,27,25,1.08
AurpulNBB1,20,26,0.7692307692307693
Benpoi1,36,23,1.565217391304348
Biscog1,10,143,0.06993006993006994
Blabri1,46,1,46.0
Boeex1,51,25,2.04
